gender,tournaments,total_rows,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
male,1,114,Suparinpei,15,8,13,114,13.157894736842104,53.333333333333336
male,1,114,Gojushiho Sho,14,7,13,114,12.280701754385964,50.0
male,1,114,Unsu,13,6,11,114,11.403508771929824,46.15384615384615
male,1,114,Gojushiho Dai,10,3,10,114,8.771929824561402,30.0
male,1,114,Papuren,8,5,8,114,7.017543859649122,62.5
male,1,114,Gankaku,8,1,8,114,7.017543859649122,12.5
male,1,114,Kururunfa,6,6,6,114,5.263157894736842,100.0
male,1,114,Anan Dai,6,3,6,114,5.263157894736842,50.0
male,1,114,Chatanyara Kushanku,6,1,6,114,5.263157894736842,16.666666666666664
male,1,114,Ohan Dai,5,2,4,114,4.385964912280701,40.0
male,1,114,Shisochin,4,3,4,114,3.508771929824561,75.0
male,1,114,Chibana No Kushanku,4,1,4,114,3.508771929824561,25.0
male,1,114,Nipaipo,3,3,3,114,2.631578947368421,100.0
male,1,114,Sochin,3,2,3,114,2.631578947368421,66.66666666666666
male,1,114,Seisan,2,2,2,114,1.7543859649122806,100.0
male,1,114,Anan,2,1,2,114,1.7543859649122806,50.0
male,1,114,Kanku Sho,2,0,2,114,1.7543859649122806,0.0
male,1,114,Enpi,1,1,1,114,0.8771929824561403,100.0
male,1,114,Nijushiho,1,1,1,114,0.8771929824561403,100.0
male,1,114,Ohan,1,1,1,114,0.8771929824561403,100.0
