tournament_id,category,source_file,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Papuren,21,11,21,114,18.421052631578945,52.38095238095239
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Suparinpei,19,12,18,114,16.666666666666664,63.1578947368421
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Chatanyara Kushanku,16,6,14,114,14.035087719298245,37.5
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Chibana No Kushanku,13,8,12,114,11.403508771929824,61.53846153846154
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Gojushiho Dai,7,3,7,114,6.140350877192982,42.857142857142854
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Kururunfa,6,5,6,114,5.263157894736842,83.33333333333334
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Gojushiho Sho,6,0,6,114,5.263157894736842,0.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Anan Dai,4,3,4,114,3.508771929824561,75.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Unsu,4,1,4,114,3.508771929824561,25.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Nipaipo,3,2,3,114,2.631578947368421,66.66666666666666
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Gankaku,3,0,3,114,2.631578947368421,0.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Ohan Dai,3,0,3,114,2.631578947368421,0.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Tomari Bassai,2,2,2,114,1.7543859649122806,100.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Anan,2,1,2,114,1.7543859649122806,50.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Paiku,1,1,1,114,0.8771929824561403,100.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Shisochin,1,1,1,114,0.8771929824561403,100.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Unshu,1,1,1,114,0.8771929824561403,100.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Kusanku,1,0,1,114,0.8771929824561403,0.0
2026_01_k1_premier_istanbul,kata_female,2026_01_k1_premier_istanbul\kata_female.csv,Oyadomari No Passai,1,0,1,114,0.8771929824561403,0.0
