tournament_id,category,source_file,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Unsu,31,14,29,256,12.109375,45.16129032258064
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Gojushiho Sho,31,13,31,256,12.109375,41.935483870967744
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Gojushiho Dai,29,14,28,256,11.328125,48.275862068965516
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Papuren,22,10,19,256,8.59375,45.45454545454545
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Suparinpei,18,13,16,256,7.03125,72.22222222222221
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Anan,17,12,16,256,6.640625,70.58823529411765
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Ohan Dai,17,8,16,256,6.640625,47.05882352941176
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Anan Dai,15,5,15,256,5.859375,33.33333333333333
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Kanku Sho,14,5,14,256,5.46875,35.714285714285715
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Chibana No Kushanku,11,6,11,256,4.296875,54.54545454545454
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Ohan,11,6,11,256,4.296875,54.54545454545454
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Chatanyara Kushanku,10,4,9,256,3.90625,40.0
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Kururunfa,7,5,7,256,2.734375,71.42857142857143
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Nipaipo,5,4,4,256,1.953125,80.0
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Sochin,5,4,5,256,1.953125,80.0
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Enpi,3,2,3,256,1.171875,66.66666666666666
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Gankaku,3,1,3,256,1.171875,33.33333333333333
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Sansai,3,0,3,256,1.171875,0.0
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Unshu,2,1,2,256,0.78125,50.0
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Seipai,1,1,1,256,0.390625,100.0
2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.csv,Nijushiho,1,0,1,256,0.390625,0.0
