tournament_id,category,source_file,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Papuren,24,13,24,114,21.052631578947366,54.166666666666664
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Chatanyara Kushanku,19,7,17,114,16.666666666666664,36.84210526315789
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Suparinpei,19,5,18,114,16.666666666666664,26.31578947368421
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Chibana No Kushanku,11,7,10,114,9.649122807017543,63.63636363636363
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Anan Dai,10,5,10,114,8.771929824561402,50.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Kururunfa,6,5,6,114,5.263157894736842,83.33333333333334
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Unsu,5,3,5,114,4.385964912280701,60.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Gojushiho Dai,4,1,4,114,3.508771929824561,25.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Gojushiho Sho,4,1,4,114,3.508771929824561,25.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Nipaipo,3,2,3,114,2.631578947368421,66.66666666666666
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Tomari Bassai,2,2,2,114,1.7543859649122806,100.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Kishimoto No Kushanku,2,1,1,114,1.7543859649122806,50.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Anan,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Gankaku,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Ohan Dai,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Shisochin,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_female,2026_03_k1_premier_rome\kata_female.csv,Unshu,1,1,1,114,0.8771929824561403,100.0
