tournament_id,category,source_file,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Suparinpei,16,8,14,114,14.035087719298245,50.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Papuren,10,4,10,114,8.771929824561402,40.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Gojushiho Sho,9,4,9,114,7.894736842105263,44.44444444444444
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Unsu,9,4,9,114,7.894736842105263,44.44444444444444
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Gojushiho Dai,9,2,9,114,7.894736842105263,22.22222222222222
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Anan Dai,7,4,7,114,6.140350877192982,57.14285714285714
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Sochin,7,3,7,114,6.140350877192982,42.857142857142854
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Chibana No Kushanku,6,3,5,114,5.263157894736842,50.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Ohan Dai,6,1,6,114,5.263157894736842,16.666666666666664
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Gankaku,5,3,4,114,4.385964912280701,60.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Chatanyara Kushanku,5,0,4,114,4.385964912280701,0.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Anan,4,4,4,114,3.508771929824561,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Kururunfa,4,4,4,114,3.508771929824561,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Shisochin,3,2,3,114,2.631578947368421,66.66666666666666
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Enpi,2,2,2,114,1.7543859649122806,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Seisan,2,2,2,114,1.7543859649122806,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Kanku Sho,2,1,2,114,1.7543859649122806,50.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Kishimoto No Kushanku,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Nijushiho,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Nipaipo,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Ohan,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Paiku,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Unshu,1,1,1,114,0.8771929824561403,100.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Gojushiho,1,0,1,114,0.8771929824561403,0.0
2026_03_k1_premier_rome,kata_male,2026_03_k1_premier_rome\kata_male.csv,Kusanku,1,0,1,114,0.8771929824561403,0.0
