tournament_id,category,source_file,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Suparinpei,19,12,17,78,24.358974358974358,63.1578947368421
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Papuren,18,10,18,78,23.076923076923077,55.55555555555556
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Chatanyara Kushanku,14,5,13,78,17.94871794871795,35.714285714285715
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Chibana No Kushanku,8,6,8,78,10.256410256410255,75.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Kururunfa,5,2,5,78,6.41025641025641,40.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Anan Dai,5,1,5,78,6.41025641025641,20.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Nipaipo,2,1,2,78,2.564102564102564,50.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Kishimoto No Kushanku,2,0,2,78,2.564102564102564,0.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Shisochin,1,1,1,78,1.282051282051282,100.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Tomari Bassai,1,1,1,78,1.282051282051282,100.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Anan,1,0,1,78,1.282051282051282,0.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Ohan Dai,1,0,1,78,1.282051282051282,0.0
2026_04_k1_premier_leshan,kata_female,2026_04_k1_premier_leshan\kata_female.csv,Sansai,1,0,1,78,1.282051282051282,0.0
