tournament_id,category,source_file,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Gojushiho Sho,39,24,37,260,15.0,61.53846153846154
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Gojushiho Dai,29,11,27,260,11.153846153846155,37.93103448275862
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Suparinpei,26,15,23,260,10.0,57.692307692307686
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Unsu,21,10,20,260,8.076923076923077,47.61904761904761
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Anan,17,11,16,260,6.538461538461539,64.70588235294117
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Kanku Sho,17,10,17,260,6.538461538461539,58.82352941176471
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Anan Dai,16,8,16,260,6.153846153846154,50.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Papuren,15,4,14,260,5.769230769230769,26.666666666666668
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Kururunfa,14,10,13,260,5.384615384615385,71.42857142857143
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Ohan Dai,14,6,13,260,5.384615384615385,42.857142857142854
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Chatanyara Kushanku,9,4,9,260,3.4615384615384617,44.44444444444444
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Chibana No Kushanku,9,2,9,260,3.4615384615384617,22.22222222222222
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Ohan,6,4,6,260,2.307692307692308,66.66666666666666
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Gankaku,5,0,5,260,1.9230769230769231,0.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Sochin,4,3,4,260,1.5384615384615385,75.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Nipaipo,4,2,4,260,1.5384615384615385,50.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Enpi,4,1,4,260,1.5384615384615385,25.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Kishimoto No Kushanku,3,1,3,260,1.153846153846154,33.33333333333333
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Nijushiho,2,2,2,260,0.7692307692307693,100.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Seipai,2,1,2,260,0.7692307692307693,50.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Pachu,1,1,1,260,0.38461538461538464,100.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Paiku,1,0,1,260,0.38461538461538464,0.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Sansai,1,0,1,260,0.38461538461538464,0.0
2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.csv,Sanseru,1,0,1,260,0.38461538461538464,0.0
