tournament_id,category,source_file,kata_name,performances,wins,unique_athletes,total_performances,usage_pct,win_rate
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Papuren,20,11,20,102,19.607843137254903,55.00000000000001
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Suparinpei,18,10,17,102,17.647058823529413,55.55555555555556
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Chatanyara Kushanku,13,3,12,102,12.745098039215685,23.076923076923077
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Chibana No Kushanku,9,4,9,102,8.823529411764707,44.44444444444444
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Gojushiho Dai,8,3,7,102,7.8431372549019605,37.5
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Anan Dai,7,3,7,102,6.862745098039216,42.857142857142854
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Gojushiho Sho,6,2,6,102,5.88235294117647,33.33333333333333
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Kururunfa,4,3,4,102,3.9215686274509802,75.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Unsu,4,3,4,102,3.9215686274509802,75.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Gankaku,4,2,3,102,3.9215686274509802,50.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Nipaipo,2,2,2,102,1.9607843137254901,100.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Ohan Dai,2,2,2,102,1.9607843137254901,100.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Gojushiho,1,1,1,102,0.9803921568627451,100.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Oyadomari No Passai,1,1,1,102,0.9803921568627451,100.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Tomari Bassai,1,1,1,102,0.9803921568627451,100.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Anan,1,0,1,102,0.9803921568627451,0.0
2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.csv,Kanku Sho,1,0,1,102,0.9803921568627451,0.0
