player_name,player_id,kata_nr,kata_name,winner,tournament_id,category,source_file
ALMOSAWI SAYED MOHAMMED,10558,099,Unsu,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
UJIHARA YUKI,19597,068,Papuren,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
MOTO RYUJI,37096,021,Gojushiho Sho,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
COMANESCU PETRU,39591,041,Kanku Sho,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
UJIHARA YUKI,19597,047,Kururunfa,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
MOTO RYUJI,37096,060,Nijushiho,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
ALMOSAWI SAYED MOHAMMED,10558,041,Kanku Sho,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
COMANESCU PETRU,39591,099,Unsu,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
ALMOSAWI SAYED MOHAMMED,10558,020,Gojushiho Dai,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
MOTO RYUJI,37096,012,Enpi,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
UJIHARA YUKI,19597,092,Suparinpei,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
COMANESCU PETRU,39591,021,Gojushiho Sho,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
FREDA MATTEO,70764,015,Gankaku,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
HRCKA ROMAN,26971,061,Nipaipo,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
CHINEN REY,9515,008,Chatanyara Kushanku,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
MOTO KAZUMASA,37253,020,Gojushiho Dai,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
HRCKA ROMAN,26971,008,Chatanyara Kushanku,False,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
CHINEN REY,9515,092,Suparinpei,True,2026_01_k1_premier_istanbul,kata_male,2026_01_k1_premier_istanbul\kata_male.html
