player_name,player_id,kata_nr,kata_name,winner,tournament_id,category,source_file
BAUDARD LAURE,76970,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
CHU ON KEI,72753,008,Chatanyara Kushanku,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
TUREMEN DAMLA SU,8246,041,Kanku Sho,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
AMINI IGDAR NEGIN,95213,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
CHOI HAEUN,91053,068,Papuren,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
MILOSEVIC NEDA,78888,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
ABDOU FARAH,95350,002,Anan Dai,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
MADADPOUR ZAHRA,95389,002,Anan Dai,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
LEONG WAI YEE SHANNON,51258,063,Ohan,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
BAKER AIMEE,85433,002,Anan Dai,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
SEPEHRI MANESH MOZHGAN,59163,068,Papuren,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
TEIXEIRA LARA,75992,001,Anan,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
ŠABOVÁ DOMINIKA,62830,002,Anan Dai,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
CARTWRIGHT CONI-MAE,90036,047,Kururunfa,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
BAUDARD LAURE,76970,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
TUREMEN DAMLA SU,8246,091,Sochin,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
MILOSEVIC NEDA,78888,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
ABDOU FARAH,95350,009,Chibana No Kushanku,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
LEONG WAI YEE SHANNON,51258,001,Anan,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
TEIXEIRA LARA,75992,008,Chatanyara Kushanku,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
CARTWRIGHT CONI-MAE,90036,068,Papuren,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
KHURTSILAVA LIA,74825,068,Papuren,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
TUREMEN DAMLA SU,8246,020,Gojushiho Dai,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
ABDOU FARAH,95350,068,Papuren,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
TEIXEIRA LARA,75992,068,Papuren,False,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
KHURTSILAVA LIA,74825,092,Suparinpei,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
TUREMEN DAMLA SU,8246,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_female,2026_01_k1_seriesa_tbilisi\kata_female.html
