player_name,player_id,kata_nr,kata_name,winner,tournament_id,category,source_file
STASSIAUX MAHEL,60541,021,Gojushiho Sho,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
BAKIROV VARISHAN,46656,020,Gojushiho Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MORLEY GEORGE,90069,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
POLSINELLI GUIDO,77875,091,Sochin,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
WU TIMON,39597,001,Anan,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
LAM JASON,90016,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
GENDES DAVID,82724,061,Nipaipo,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MACKIE GRAHAM,34674,008,Chatanyara Kushanku,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MKHITARYAN MIKHAYIL,19737,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ÖZDEMIR MEHMET BATUHAN,94993,091,Sochin,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MARTIN MONTENEGRO IVAN,41910,063,Ohan,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FUNADA AOI,37817,092,Suparinpei,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
URAZALIYEV SAMANDAR,59739,063,Ohan,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
CHIU CHUN YIN,51524,068,Papuren,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
COSCI GIUSEPPE,32037,002,Anan Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
SEMENENKO NIKITA,48943,041,Kanku Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
BAKIROV VARISHAN,46656,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
POLSINELLI GUIDO,77875,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
WU TIMON,39597,009,Chibana No Kushanku,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
GENDES DAVID,82724,002,Anan Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ÖZDEMIR MEHMET BATUHAN,94993,015,Gankaku,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FUNADA AOI,37817,068,Papuren,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
CHIU CHUN YIN,51524,092,Suparinpei,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
SEMENENKO NIKITA,48943,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
POLSINELLI GUIDO,77875,099,Unsu,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
GENDES DAVID,82724,008,Chatanyara Kushanku,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FUNADA AOI,37817,098,Unshu,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
CHIU CHUN YIN,51524,098,Unshu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
POLSINELLI GUIDO,77875,009,Chibana No Kushanku,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FUNADA AOI,37817,009,Chibana No Kushanku,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
NOUR MAURIS LORICK,45889,092,Suparinpei,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
VIEIRA JOÃO,51424,047,Kururunfa,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ALDBASI SAQR,16768,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MISCHLER KEVIN,90195,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ANTSIMONIK IVAN,83944,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
PAPPALARDO VINCENZO,95272,041,Kanku Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
BESBADEM ENES SAD,8215,002,Anan Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
NADIMIGHASROLDASHT ALIREZA,63356,099,Unsu,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
PANAGIA GIUSEPPE,83346,041,Kanku Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
LOUIS SERB,54817,041,Kanku Sho,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FONG MAN HOU,18404,068,Papuren,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
STRAUB FABIAN,37591,041,Kanku Sho,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
LÁSZLÓ SAMU,70886,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
KASPRZYK BARTOSZ,28377,009,Chibana No Kushanku,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
VIEIRA JOÃO,51424,001,Anan,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ALDBASI SAQR,16768,099,Unsu,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
PAPPALARDO VINCENZO,95272,020,Gojushiho Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
NADIMIGHASROLDASHT ALIREZA,63356,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
PANAGIA GIUSEPPE,83346,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FONG MAN HOU,18404,002,Anan Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
KASPRZYK BARTOSZ,28377,064,Ohan Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HARRISON JAMES,27233,002,Anan Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ALDBASI SAQR,16768,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
PAPPALARDO VINCENZO,95272,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FONG MAN HOU,18404,001,Anan,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HARRISON JAMES,27233,068,Papuren,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
PAPPALARDO VINCENZO,95272,099,Unsu,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FONG MAN HOU,18404,008,Chatanyara Kushanku,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ZAND ALI,95235,063,Ohan,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HUSSAIN MOHAMMAD,10560,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
KASHFIRAD KIYAN,90821,068,Papuren,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
CHKHAIDZE GIORGI,83525,047,Kururunfa,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
LEVI ELDAR,61131,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MARSDEN HARRY,51771,092,Suparinpei,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
RAHBARIFAR ALI,95151,021,Gojushiho Sho,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
NOEL ARTHUR,90139,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FEDOROV YAROSLAV,37165,047,Kururunfa,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ZOECHLING FLORIAN,56811,008,Chatanyara Kushanku,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MATACCHIONI LUIGI,82600,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HUNG HO WAI HOWARD,55490,063,Ohan,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HASSAN AHMED,95137,021,Gojushiho Sho,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MORENO-DOMONT MATIAS,90154,068,Papuren,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HUSSAIN MOHAMMAD,10560,012,Enpi,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
CHKHAIDZE GIORGI,83525,092,Suparinpei,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MARSDEN HARRY,51771,001,Anan,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
NOEL ARTHUR,90139,020,Gojushiho Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
FEDOROV YAROSLAV,37165,002,Anan Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HUNG HO WAI HOWARD,55490,064,Ohan Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MORENO-DOMONT MATIAS,90154,064,Ohan Dai,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
BANDALETAU SIARHEI,95307,063,Ohan,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HUSSAIN MOHAMMAD,10560,099,Unsu,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
NOEL ARTHUR,90139,099,Unsu,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HUNG HO WAI HOWARD,55490,001,Anan,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
MORENO-DOMONT MATIAS,90154,092,Suparinpei,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
NOEL ARTHUR,90139,041,Kanku Sho,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
HUNG HO WAI HOWARD,55490,092,Suparinpei,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ARNONE FEDERICO,72101,021,Gojushiho Sho,True,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
ZLABEK JAKUB,23362,020,Gojushiho Dai,False,2026_01_k1_seriesa_tbilisi,kata_male,2026_01_k1_seriesa_tbilisi\kata_male.html
