player_name,player_id,kata_nr,kata_name,winner,tournament_id,category,source_file
FERNANDES NATACHA,62651,002,Anan Dai,True,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
LEE NGAI YI,51527,008,Chatanyara Kushanku,False,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
LENNIK ALEKSANDRA,83946,068,Papuren,True,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
GRGIĆ INGA,51096,020,Gojushiho Dai,False,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
MILIC JOVANA,22092,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
TSIAKMAKI ATHINA,46899,092,Suparinpei,True,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
CHACÓN BENÍTEZ MARIANYELA,97966,064,Ohan Dai,False,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
DAHL-WRØNDING JUSTINA MUSAK,76030,020,Gojushiho Dai,True,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
VINCENT KETHLEEN,81742,068,Papuren,True,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
STEVENS JULIE,82810,020,Gojushiho Dai,False,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
WORREBY MIA,87748,068,Papuren,False,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
MINAMOTO AIRA,90168,097,Tomari Bassai,True,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
JIMENEZ SANCHEZ-MORATE SARA,98207,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_female,2026_04_k1_seriesa_coruna\kata_female.html
