player_name,player_id,kata_nr,kata_name,winner,tournament_id,category,source_file
UMEYAMA SEIYA,69308,012,Enpi,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MATACCHIONI LUIGI,82600,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
TIUKH MYKYTA,28342,092,Suparinpei,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
STOJAKOVIC GEORGE,73589,064,Ohan Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
CAMBRONERO ALVARADO SERGIO,78931,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
DAHY ALI,67316,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
LOZANO FERNÁNDEZ ANTONIO,49060,001,Anan,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
SONNEMA RICK,74707,020,Gojushiho Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
HARRISON JAMES,96093,008,Chatanyara Kushanku,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
TELO LOPEZ GABRIEL,98081,009,Chibana No Kushanku,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GOKTAS EMRE VEFA,9678,091,Sochin,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
STRAUB FABIAN,37591,041,Kanku Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NGUYEN TOAN,59687,020,Gojushiho Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MEDINA DAVID,94849,009,Chibana No Kushanku,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
UMEYAMA SEIYA,69308,060,Nijushiho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
TIUKH MYKYTA,28342,001,Anan,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
DAHY ALI,67316,020,Gojushiho Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
LOZANO FERNÁNDEZ ANTONIO,49060,008,Chatanyara Kushanku,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
WAGNER FELIX,57338,020,Gojushiho Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
TELO LOPEZ GABRIEL,98081,001,Anan,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GOKTAS EMRE VEFA,9678,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MEDINA DAVID,94849,092,Suparinpei,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
UMEYAMA SEIYA,69308,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
LOZANO FERNÁNDEZ ANTONIO,49060,092,Suparinpei,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
TELO LOPEZ GABRIEL,98081,068,Papuren,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GOKTAS EMRE VEFA,9678,020,Gojushiho Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
LOZANO FERNÁNDEZ ANTONIO,49060,064,Ohan Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GOKTAS EMRE VEFA,9678,099,Unsu,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
BERCZES BOTOND,41995,068,Papuren,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
PANAGIA GIUSEPPE,83346,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
KUTABA VICTOR,61778,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARKESINIS LAMPRINOS MARIOS,51230,041,Kanku Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
ALJOSEVIC BENJAMIN,56857,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MATHES MIKA,98117,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
PARRA RAMIREZ MARIO,73136,012,Enpi,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
BAREIKA MAKSIM,88847,002,Anan Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MORENO-DOMONT MATIAS,90154,068,Papuren,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
PAGOT ALEXANDER,13085,061,Nipaipo,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MORALES DANIEL,90876,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NUNES RAFAEL,98252,041,Kanku Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
TELLOCKE MORRIS,644,061,Nipaipo,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARTINS DE SOUZA FERNANDO,98416,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GALLO GIANLUCA,26954,091,Sochin,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
PANAGIA GIUSEPPE,83346,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARKESINIS LAMPRINOS MARIOS,51230,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MATHES MIKA,98117,041,Kanku Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
BAREIKA MAKSIM,88847,068,Papuren,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
PAGOT ALEXANDER,13085,083,Seipai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NUNES RAFAEL,98252,099,Unsu,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
BUISSON MATTÉO,95266,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GALLO GIANLUCA,26954,020,Gojushiho Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARKESINIS LAMPRINOS MARIOS,51230,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MATHES MIKA,98117,020,Gojushiho Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NUNES RAFAEL,98252,015,Gankaku,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
