player_name,player_id,kata_nr,kata_name,winner,tournament_id,category,source_file
RAAFAT JANA,53716,021,Gojushiho Sho,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
ANDRADE HENRIQUE GABRIELLE,79136,068,Papuren,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
DAHLEB NARIMENE,55361,020,Gojushiho Dai,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
XENOU GEORGIA-ARCHONTIA,531,002,Anan Dai,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
ANDRADE HENRIQUE GABRIELLE,79136,002,Anan Dai,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
DAHLEB NARIMENE,55361,099,Unsu,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
RAAFAT JANA,53716,020,Gojushiho Dai,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
XENOU GEORGIA-ARCHONTIA,531,068,Papuren,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
RAAFAT JANA,53716,020,Gojushiho Dai,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
DAHLEB NARIMENE,55361,015,Gankaku,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
ANDRADE HENRIQUE GABRIELLE,79136,009,Chibana No Kushanku,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
XENOU GEORGIA-ARCHONTIA,531,008,Chatanyara Kushanku,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
IWATANI AZUKI,72059,092,Suparinpei,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
MARQUES RITA,51420,047,Kururunfa,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
COLAK KEYDA NUR,96349,008,Chatanyara Kushanku,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
D ONOFRIO TERRYANA,1051,009,Chibana No Kushanku,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
MARQUES RITA,51420,064,Ohan Dai,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
COLAK KEYDA NUR,96349,068,Papuren,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
IWATANI AZUKI,72059,009,Chibana No Kushanku,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
D ONOFRIO TERRYANA,1051,092,Suparinpei,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
IWATANI AZUKI,72059,068,Papuren,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
COLAK KEYDA NUR,96349,092,Suparinpei,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
MARQUES RITA,51420,092,Suparinpei,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
D ONOFRIO TERRYANA,1051,065,Oyadomari No Passai,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
EN-NESYRY AYA,10786,021,Gojushiho Sho,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
SIEBERT RITA,43849,092,Suparinpei,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
EDERAR MIRIAM,75195,068,Papuren,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
TAILY HELVETIA,47545,021,Gojushiho Sho,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
SIEBERT RITA,43849,068,Papuren,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
EDERAR MIRIAM,75195,002,Anan Dai,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
EN-NESYRY AYA,10786,020,Gojushiho Dai,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
TAILY HELVETIA,47545,015,Gankaku,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
EN-NESYRY AYA,10786,015,Gankaku,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
EDERAR MIRIAM,75195,092,Suparinpei,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
SIEBERT RITA,43849,008,Chatanyara Kushanku,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
TAILY HELVETIA,47545,020,Gojushiho Dai,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
KHAMIS JANA1,53718,021,Gojushiho Sho,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
CASALE CAROLA,27089,092,Suparinpei,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
KHAMIS JANA1,53718,020,Gojushiho Dai,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
ONO MAHO,26536,061,Nipaipo,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
CASALE CAROLA,27089,068,Papuren,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
ONO MAHO,26536,068,Papuren,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
ELEZABY MARIAM,68529,021,Gojushiho Sho,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
CRUZ ANA,17798,002,Anan Dai,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
LEHNER TAMARA,51700,068,Papuren,False,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
ZERVOU ELENI,66141,068,Papuren,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
CRUZ ANA,17798,064,Ohan Dai,True,2026_06_k1_premier_rabat,kata_female,2026_06_k1_premier_rabat\kata_female.html
